Dataset_ID	Sample_ID	Platform_ID
GSE1561	GSM26804	GPL96
GSE1561	GSM26867	GPL96
GSE1561	GSM26868	GPL96
GSE1561	GSM26869	GPL96
GSE1561	GSM26870	GPL96
GSE1561	GSM26871	GPL96
GSE1561	GSM26872	GPL96
GSE1561	GSM26873	GPL96
GSE1561	GSM26874	GPL96
GSE1561	GSM26875	GPL96
GSE1561	GSM26876	GPL96
GSE1561	GSM26877	GPL96
GSE1561	GSM26878	GPL96
GSE1561	GSM26879	GPL96
GSE1561	GSM26880	GPL96
GSE1561	GSM26881	GPL96
GSE1561	GSM26882	GPL96
GSE1561	GSM26883	GPL96
GSE1561	GSM26884	GPL96
GSE1561	GSM26885	GPL96
GSE1561	GSM26886	GPL96
GSE1561	GSM26887	GPL96
GSE1561	GSM26888	GPL96
GSE1561	GSM26889	GPL96
GSE1561	GSM26890	GPL96
GSE1561	GSM26891	GPL96
GSE1561	GSM26892	GPL96
GSE1561	GSM26893	GPL96
GSE1561	GSM26894	GPL96
GSE1561	GSM26895	GPL96
GSE1561	GSM26896	GPL96
GSE1561	GSM26897	GPL96
GSE1561	GSM26898	GPL96
GSE1561	GSM26899	GPL96
GSE1561	GSM26900	GPL96
GSE1561	GSM26901	GPL96
GSE1561	GSM26902	GPL96
GSE1561	GSM26903	GPL96
GSE1561	GSM26904	GPL96
GSE1561	GSM26905	GPL96
GSE1561	GSM26906	GPL96
GSE1561	GSM26907	GPL96
GSE1561	GSM26908	GPL96
GSE1561	GSM26909	GPL96
GSE1561	GSM26910	GPL96
GSE1561	GSM26911	GPL96
GSE1561	GSM26912	GPL96
GSE1561	GSM26913	GPL96
GSE1561	GSM26914	GPL96
