gseID	gsmID	celfileID	value
E_TABM_158	s0204	LBL_POP5_4006154_240.G06_v4.cel	103392.82
E_TABM_158	b0414	LBL_POP5_4006154_240.E02_v4.cel	105922.98
E_TABM_158	s0107	LBL_POP_W405609.A04.CEL	103976.83
E_TABM_158	s0226	LBL_POP5_4006154_240.G07_v4.cel	84371.6
E_TABM_158	s0071	LBL_POP_W405609.C10.CEL	98367.48
E_TABM_158	b0374	LBL_POP_W405609.G06.CEL	108632.28
E_TABM_158	b0499	LBL_POP_W405609.A08.CEL	99750.09
E_TABM_158	b0515	LBL_POP5_4006154_240.E10_v4.cel	106423.93
E_TABM_158	b0627	091604_WN405650_LBLPOPII.B02.CEL	78849.99
E_TABM_158	s0132	091604_WN405650_LBLPOPII.G03.CEL	94993.74
E_TABM_158	s0176	LBL_POP_W405609.G04.CEL	83405.28
E_TABM_158	s0210	LBL_POP_W405609.D05.CEL	101809.41
E_TABM_158	b0299	LBL_POP5_4006154_240.D02_v4.cel	101738.19
E_TABM_158	s0080	LBL_POP_W405609.D03.CEL	106327.49
E_TABM_158	s0040	LBL_POP_W405609.D09.CEL	96500.91
E_TABM_158	s0103	LBL_POP_W405609.H10.CEL	81564.5
E_TABM_158	s0059	LBL_POP_W405609.H09.CEL	81968.83
E_TABM_158	s0084	LBL_POP_W405609.E10.CEL	98806.47
E_TABM_158	b0346	LBL_POP5_4006154_240.D08_v4.cel	101005.91
E_TABM_158	s0109	LBL_POP_W405609.B04.CEL	106124.28
E_TABM_158	b0574	091604_WN405650_LBLPOPII.F10.CEL	92043.39
E_TABM_158	b0357	LBL_POP5_4006154_240.D10_v4.cel	107879.89
E_TABM_158	s0183	LBL_POP_W405609.A05.CEL	101247.2
E_TABM_158	b0420	LBL_POP5_4006154_240.E03_v4.cel	101772.25
E_TABM_158	s0018	LBL_POP_W405609.A03.CEL	104812.14
E_TABM_158	b0344	LBL_POP_W405609.H01.CEL	76800.82
E_TABM_158	s0055	091604_WN405650_LBLPOPII.C03.CEL	95926.05
E_TABM_158	b0565	091604_WN405650_LBLPOPII.E10.CEL	97078.12
E_TABM_158	b0667	091604_WN405650_LBLPOPII.G02.CEL	107419.06
E_TABM_158	b0512	LBL_POP_W405609.C08.CEL	101971.36
E_TABM_158	s0229	LBL_POP_W405609.E05.CEL	107790.8
E_TABM_158	s0060	LBL_POP_W405609.A10.CEL	81038.49
E_TABM_158	b0671	091604_WN405650_LBLPOPII.A11.CEL	103606.48
E_TABM_158	s0177	LBL_POP_W405609.H11.CEL	80356.4
E_TABM_158	b0252	091604_WN405650_LBLPOPII.D04.CEL	49018.27
E_TABM_158	s0350	091604_WN405650_LBLPOPII.C12.CEL	96940.48
E_TABM_158	b0434	LBL_POP_W405609.G07.CEL	93008.05
E_TABM_158	b0337	LBL_POP5_4006154_240.D05_v4.cel	105701.7
E_TABM_158	b0244	091604_WN405650_LBLPOPII.F09.CEL	81040.48
E_TABM_158	s0162	LBL_POP_W405609.E11.CEL	99492.84
E_TABM_158	s0037	LBL_POP_W405609.C09.CEL	97832.47
E_TABM_158	s0087	LBL_POP_W405609.E03.CEL	66989.69
E_TABM_158	b0336	LBL_POP_W405609.F01.CEL	98919.48
