Dataset_ID	Variable	Unique_Summary	Num_Unique
GSE62944_Tumor	ajcc_metastasis_pathologic_pm	M0, MX, cM0 (i+), M1	4
GSE62944_Tumor	ajcc_nodes_pathologic_pn	N3, N0, N0 (i-), N2, N1, N2a, N1a, N1mi, N1b, N0 (i+), NX, N3a, N3c, N3b, N1c, N0 (mol+)	16
GSE62944_Tumor	ajcc_pathologic_tumor_stage	Stage IIIC, Stage IIA, Stage IIIA, Stage IIB, Stage IA, Stage I, Stage IIIB, Stage X, Stage II, Stage IV, Stage IB, Stage III, Stage Tis, NA	14
GSE62944_Tumor	ajcc_staging_edition	NA, 7th, 6th, 5th, 4th	5
GSE62944_Tumor	ajcc_tumor_pathologic_pt	T3, T2, T1c, T1, T2b, T4b, T1b, T4d, T2a, TX, T1a, T4, T3a	13
GSE62944_Tumor	anatomic_neoplasm_subdivision	Right Upper Outer Quadrant, Right, Right Upper Inner Quadrant|Right, Left Upper Inner Quadrant, Left Upper Inner Quadrant|Left Upper Outer Quadrant, Right|Right Lower Outer Quadrant, Left Upper Outer Quadrant, Left, Right Upper Inner Quadrant, Left Upper Outer Quadrant|Left, Right Lower Outer Quadrant, Left Upper Outer Quadrant|Left Lower Outer Quadrant, Left Lower Inner Quadrant|Left Lower Outer Quadrant, Left Lower Inner Quadrant|Left, Left Lower Outer Quadrant, Right Upper Inner Quadrant|Right Upper Outer Quadrant, Right Upper Outer Quadrant|Right, Left Lower Inner Quadrant, Right Lower Inner Quadrant, Right|Right Lower Inner Quadrant, Left Upper Inner Quadrant|Left Upper Outer Quadrant|Left, Right|Right Upper Outer Quadrant, Left|Left Lower Inner Quadrant, Left Lower Outer Quadrant|Left, Left|Left Upper Outer Quadrant, Right Lower Inner Quadrant|Right Lower Outer Quadrant|Right, Right|Right Upper Inner Quadrant, Right Upper Inner Quadrant|Right Upper Outer Quadrant|Right, Left Upper Inner Quadrant|Left Lower Inner Quadrant, Left Upper Inner Quadrant|Left Upper Outer Quadrant|Left Lower Inner Quadrant|Left Lower Outer Quadrant, Right Lower Inner Quadrant|Right, Right Lower Outer Quadrant|Right, Right Upper Outer Quadrant|Right Lower Outer Quadrant, Right Lower Inner Quadrant|Right Lower Outer Quadrant, Left|Left Upper Outer Quadrant|Left Lower Outer Quadrant, Right|Right Upper Inner Quadrant|Right Upper Outer Quadrant|Right Lower Inner Quadrant|Right Lower Outer Quadrant, Right Upper Inner Quadrant|Right Upper Outer Quadrant|Right Lower Inner Quadrant|Right Lower Outer Quadrant|Right, Right Upper Inner Quadrant|Right Lower Inner Quadrant, Right Upper Inner Quadrant|Right Lower Inner Quadrant|Right, Left Upper Outer Quadrant|Left Lower Outer Quadrant|Left, Left Upper Inner Quadrant|Left, Left|Left Upper Inner Quadrant|Left Lower Inner Quadrant, Left Upper Inner Quadrant|Left Upper Outer Quadrant|Left Lower Inner Quadrant|Left Lower Outer Quadrant|Left, Right Upper Outer Quadrant|Right Lower Inner Quadrant|Right Lower Outer Quadrant, Left Upper Inner Quadrant|Left Lower Inner Quadrant|Left Lower Outer Quadrant|Left, Left Upper Outer Quadrant|Left Lower Inner Quadrant|Left Lower Outer Quadrant, Left Lower Inner Quadrant|Left Lower Outer Quadrant|Left, Right Upper Outer Quadrant|Right Lower Outer Quadrant|Right, Left Upper Inner Quadrant|Left Upper Outer Quadrant|Left Lower Inner Quadrant|Left, Left Upper Inner Quadrant|Left Upper Outer Quadrant|Left Lower Outer Quadrant|Left, Left|Left Upper Inner Quadrant, Left|Left Upper Inner Quadrant|Left Upper Outer Quadrant|Left Lower Inner Quadrant|Left Lower Outer Quadrant, Left Upper Inner Quadrant|Left Lower Inner Quadrant|Left	53
GSE62944_Tumor	axillary_staging_method	Axillary lymph node dissection alone, Sentinel node biopsy alone, Sentinel lymph node biopsy plus axillary dissection, NA, No axillary staging, Other (specify)	6
